context,question,golden_answer,our_answer_wo_context,our_answer_w_context
"Jeep Liberty 2012 Jeep Liberty Overview Manufacturer DaimlerChrysler ( 2002 - 2007 ) Chrysler LLC ( 2007 - 2009 ) Chrysler Group LLC ( 2009 - 2012 ) Also called Jeep Cherokee Production 2001 -- August 21st , 2012 Model years 2002 -- 2012 Assembly United States : Toledo , Ohio , ( Toledo North Assembly Plant ) Egypt : Cairo ( AAV ) Venezuela : Valencia , Carabobo ( Carabob Assembly ) Body and chassis Class Compact SUV Body style 4 - door SUV Layout Front - engine , Rear - wheel drive / Four - wheel drive Related Dodge Nitro Chronology Predecessor Jeep Cherokee ( XJ ) Successor Jeep Cherokee ( KL ) ( name-wise ) Jeep Compass ( MP ) ( as a compact SUV )",what was the last year jeep liberty was made,2012,2002,"August 21st, 2012."
"A nephew is a son of a person 's sibling , and a niece is a daughter of a person 's sibling . Conversely , that person is the aunt or uncle of their niece or nephew . The gender - neutral term encompassing both nephews and nieces is nibling . The relationship of aunt / uncle to niece / nephew is an example of second - degree relatives , meaning that their coefficient of relationship is 25 % .",brother's daughter is called as in english,niece,Sister,Niece.
"In Greek mythology , Iphigenia ( / ɪfɪdʒɪˈnaɪ. ə / ; Ancient Greek : Ἰφιγένεια , Iphigeneia ) was a daughter of King Agamemnon and Queen Clytemnestra , and thus a princess of Mycenae . Agamemnon offends the goddess Artemis , who retaliates by commanding him to kill Iphigenia as a sacrifice so his ships can sail to Troy . In some versions , Iphigenia is sacrificed at Aulis , but in others , Artemis rescues her . In the version where she is saved , she goes to the Taurians and meets her brother Orestes .",where does the sacrifice of iphianassa (iphigenia) take place,Aulis,"Mount Ida, Greece.","Aulis, or sometimes Troy."
"Clean Air Act Long title An Act to improve , strengthen , and accelerate programs for the prevention and abatement of air pollution . Acronyms ( colloquial ) CAA Nicknames Clean Air Act of 1963 Enacted by the 88th United States Congress Effective December 17 , 1963 Citations Public law 88 - 206 Statutes at Large 77 Stat. 392 Codification Titles amended 42 U.S.C. : Public Health and Social Welfare U.S.C. sections amended 42 U.S.C. ch. 85 , subch . I § 7401 et seq . Legislative history Introduced in the House as H.R. 6518 by Kenneth A. Roberts ( D -- AL ) on July 9 , 1963 Committee consideration by House Energy and Commerce Passed the House on July 24 , 1963 ( 275 - 104 ) Passed the Senate on November 19 , 1963 ( passed voice vote , in lieu of S. 432 ) Reported by the joint conference committee on December 5 , 1963 ; agreed to by the House on December 10 , 1963 ( 276 - 112 ) and by the Senate on December 10 , 1963 ( passed voice vote ) Signed into law by President Lyndon B. Johnson on December 17 , 1963 Major amendments Motor Vehicle Air Pollution Control Act of 1965 ( 79 Stat. 992 , Pub. L. 89 -- 272 ) Air Quality Act of 1967 ( 81 Stat. 485 , Pub. L. 90 -- 148 ) Clean Air Act Extension of 1970 ( 84 Stat. 1676 , Pub. L. 91 -- 604 ) Clean Air Act Amendments of 1977 ( 91 Stat. 685 , Pub. L. 95 -- 95 ) Clean Air Act Amendments of 1990 ( 104 Stat. 2468 , Pub. L. 101 -- 549 ) United States Supreme Court cases Union Elec . Co. v. EPA , 427 U.S. 246 ( 1976 ) Chevron USA v. Natural Resources Defense Council , 467 U.S. 837 ( 1984 ) Whitman v. American Trucking Ass'ns , Inc. , 531 U.S. 457 ( 2001 )",when did congress pass the clean air act,"December 17 , 1963","Clean Air Act, 1970.","Congress passed the Clean Air Act on December 17, 1963."
"TaxSlayer Bowl `` Gator Bowl '' Stadium EverBank Field Location Jacksonville , Florida Previous stadiums Gator Bowl Stadium ( 1946 -- 1993 ) Ben Hill Griffin Stadium ( 1994 ) Previous locations Gainesville , Florida ( 1994 ) Operated 1946 -- present Conference tie - ins SEC , Big Ten , ACC Previous conference tie - ins Southern ( 1946 -- 52 ) SEC ( 1953 -- 75 , 1992 -- 94 ) ACC ( 1996 -- 2010 ) Big East ( 1996 -- 2010 ) Big 12 ( 2006 -- 10 ) Notre Dame ( 2006 -- 10 ) Payout US $ 3,500,000 ( As of 2014 ) Sponsors Mazda ( 1986 -- 91 ) Outback Steakhouse ( 1992 -- 94 ) Toyota ( 1995 -- 2007 ) Konica Minolta ( 2008 -- 10 ) Progressive Insurance ( 2011 ) TaxSlayer.com ( 2012 -- present ) Former names Gator Bowl ( 1946 -- 85 ) Mazda Gator Bowl ( 1986 -- 91 ) Outback Gator Bowl ( 1992 -- 94 ) Toyota Gator Bowl ( 1995 -- 2007 ) Konica Minolta Gator Bowl ( 2008 -- 10 ) Progressive Gator Bowl ( 2011 ) TaxSlayer.com Gator Bowl ( 2012 -- 13 ) 2016 matchup Georgia Tech vs. Kentucky ( Georgia Tech 33 -- 18 ) 2017 matchup Louisville vs. Mississippi State ( Mississippi State 31 -- 27 )",where's the taxslayer bowl being played at,EverBank Field,TaxSlayer Bowl: Liberty Bowl Memorial Stadium,EverBank Field.
"A food taster is a person that ingests food to be served to someone else , to confirm that it is safe to eat . One who tests drink in this way is known as a cupbearer . The person to whom the food is going to be served is usually an important person , such as a monarch or somebody under threat of assassination or harm .",what do you call a person who tastes food,A food taster,Gourmand.,A food taster.
"Otitis media A bulging tympanic membrane which is typical in a case of acute otitis media Specialty Otorhinolaryngology Symptoms Ear pain , fever , hearing loss Types Acute otitis media , otitis media with effusion , chronic suppurative otitis media Causes Viral , bacterial Risk factors Smoke exposure , daycare Prevention Vaccination , breastfeeding Medication Paracetamol ( acetaminophen ) , ibuprofen , benzocaine ear drops Frequency 471 million ( 2015 ) Deaths 3,200 ( 2015 ) ( edit on Wikidata )",signs and symptoms of acute suppurative otitis media,"Ear pain , fever , hearing loss","- Fever
- Ear pain
- Discharge
- Hearing loss
- Irritability
- Loss of appetite
- Cough
- Headache
-","Signs and symptoms: 
- Ear pain
- Fever
- Hearing loss"
"The Federal Employees Retirement System ( FERS ) is the retirement system for employees within the United States civil service . FERS became effective January 1 , 1987 to replace the Civil Service Retirement System ( CSRS ) and to conform federal retirement plans in line with those in the private sector .",when did the federal government switch from csrs to fers,"January 1 , 1987",1967,"January 1, 1987"
"`` I 'll Be There '' Artwork for Turkish vinyl single Single by The Jackson 5 from the album Third Album B - side `` One More Chance '' Released August 28 , 1970 ( 1970 - 08 - 28 ) Format 7 '' 45 RPM Recorded Hitsville West , Los Angeles , June 1970 Genre Soul Length 3 : 57 Label Motown M 1171 Songwriter ( s ) Berry Gordy Bob West Willie Hutch Hal Davis Producer ( s ) Hal Davis The Jackson 5 singles chronology `` The Love You Save '' ( 1970 ) `` I 'll Be There '' ( 1970 ) `` Santa Claus Is Coming to Town '' ( 1970 ) `` The Love You Save '' ( 1970 ) `` I 'll Be There '' ( 1970 ) `` Santa Claus Is Coming to Town '' ( 1970 )",who sung the song i'll be there,The Jackson 5,The Jackson 5 - I'll Be There (1970),The Jackson 5.
Dates for Easter in the past and coming 20 years ( 1998 -- 2038 in Gregorian dates ) Year Western Eastern 1998 April 12 April 19 1999 April 4 April 11 2000 April 23 April 30 April 15 2002 March 31 May 5 2003 April 20 April 27 April 11 2005 March 27 May 1 2006 April 16 April 23 2007 April 8 2008 March 23 April 27 2009 April 12 April 19 April 4 2011 April 24 2012 April 8 April 15 2013 March 31 May 5 2014 April 20 2015 April 5 April 12 2016 March 27 May 1 2017 April 16 2018 April 1 April 8 2019 April 21 April 28 2020 April 12 April 19 2021 April 4 May 2 2022 April 17 April 24 2023 April 9 April 16 2024 March 31 May 5 2025 April 20 2026 April 5 April 12 2027 March 28 May 2 2028 April 16 2029 April 1 April 8 2030 April 21 April 28 2031 April 13 2032 March 28 May 2 2033 April 17 April 24 2034 April 9 2035 March 25 April 29 2036 April 13 April 20 2037 April 5 2038 April 25,when does april 1 fall on easter again,2029,Easter Sunday falls on the first Sunday after the full moon that occurs on or after the vernal equinox.,"April 1, 2028, and 2039."
"Mantle convection is the slow creeping motion of Earth 's solid silicate mantle caused by convection currents carrying heat from the interior of the Earth to the surface . The Earth 's surface lithosphere , which rides atop the asthenosphere ( the two components of the upper mantle ) , is divided into a number of plates that are continuously being created and consumed at their opposite plate boundaries . Accretion occurs as mantle is added to the growing edges of a plate , associated with seafloor spreading . This hot added material cools down by conduction and convection of heat . At the consumption edges of the plate , the material has thermally contracted to become dense , and it sinks under its own weight in the process of subduction usually at an ocean trench .",convection in the earth's mantle involves the movement of,convection currents carrying heat from the interior of the Earth to the surface,molten rock.,heat
"Super Bowl XXXVII Oakland Raiders ( AFC ) Tampa Bay Buccaneers ( NFC ) 21 48 Total OAK 0 6 12 21 TB 17 14 14 48 Date January 26 , 2003 ( 2003 - 01 - 26 ) Stadium Qualcomm Stadium , San Diego , California MVP Dexter Jackson , Safety Favorite Raiders by 4 Referee Bill Carollo Attendance 67,603 Future Hall of Famers Raiders : Al Davis ( owner / general manager ) , Tim Brown , Jerry Rice , Rod Woodson Buccaneers : Derrick Brooks , Warren Sapp Ceremonies National anthem Dixie Chicks Coin toss 1972 Miami Dolphins : Don Shula , Bob Griese , Larry Csonka , Larry Little , Jim Langer , Nick Buoniconti , Paul Warfield Halftime show Shania Twain , No Doubt , and Sting TV in the United States Network ABC Announcers Al Michaels , John Madden , Melissa Stark and Lynn Swann Nielsen ratings 40.7 ( est . 88.6 million viewers ) Market share 61 Cost of 30 - second commercial $2.1 million ← XXXVI Super Bowl XXXVIII →",when did the tampa bay buccaneers win a superbowl,"January 26 , 2003",Super Bowl XXXVII,Tampa Bay Buccaneers won Super Bowl XXXVII.
"Orangutans Bornean orangutan ( Pongo pygmaeus ) Scientific classification Kingdom : Animalia Phylum : Chordata Class : Mammalia Order : Primates Suborder : Haplorhini Infraorder : Simiiformes Family : Hominidae Subfamily : Ponginae Genus : Pongo Lacépède , 1799 Type species Pongo borneo Lacépède , 1799 ( = Simia satyrus Linnaeus , 1760 ) Species Pongo pygmaeus Pongo abelii Pongo hooijeri † Range of the two orangutan species Synonyms Faunus Oken , 1816 Lophotus Fischer , 1813 Macrobates Bilberg , 1828 Satyrus Lesson , 1840",what is the scientific name for the borneo orangutan,Pongo pygmaeus,Pongo pygmaeus,Pongo pygmaeus
"Kevin Durant Durant in February 2014 No. 35 -- Golden State Warriors Position Small forward League NBA ( 1988 - 09 - 29 ) September 29 , 1988 ( age 29 ) Washington , D.C. Nationality American Listed height 6 ft 9 in ( 2.06 m ) Listed weight 240 lb ( 109 kg ) Career information High school National Christian Academy ( Fort Washington , Maryland ) Oak Hill Academy ( Mouth of Wilson , Virginia ) Montrose Christian School ( Rockville , Maryland ) College Texas ( 2006 -- 2007 ) NBA draft 2007 / Round : 1 / Pick : 2nd overall Selected by the Seattle SuperSonics Playing career 2007 -- present Career history 2007 -- 2016 Seattle SuperSonics / Oklahoma City Thunder 2016 -- present Golden State Warriors Career highlights and awards NBA champion ( 2017 ) NBA Finals MVP ( 2017 ) NBA Most Valuable Player ( 2014 ) 9 × NBA All - Star ( 2010 -- 2018 ) NBA All - Star Game MVP ( 2012 ) 5 × All - NBA First Team ( 2010 -- 2014 ) 2 × All - NBA Second Team ( 2016 , 2017 ) 4 × NBA scoring champion ( 2010 -- 2012 , 2014 ) NBA Rookie of the Year ( 2008 ) NBA Rookie Challenge MVP ( 2009 ) 50 -- 40 -- 90 club ( 2013 ) Consensus National College Player of the Year ( 2007 ) Consensus first - team All - American ( 2007 ) Big 12 Player of the Year ( 2007 ) No. 35 retired by the University of Texas FIBA World Championship MVP ( 2010 ) 2 × USA Basketball Male Athlete of the Year ( 2010 , 2016 ) McDonald 's All - American Game MVP ( 2007 ) Stats at NBA.com Stats at Basketball-Reference.com Medals ( hide ) Men 's basketball Representing United States Olympic Games 2012 London Team 2016 Rio de Janeiro Team World Championship 2010 Turkey Team",what team was kevin durant on before warriors,Seattle SuperSonics / Oklahoma City Thunder,Oklahoma City Thunder,Seattle SuperSonics/Oklahoma City Thunder
